128 128
-25.055623  -3.802040 -832.624969
-24.062089  -3.909407 -832.588075
-23.068554  -4.016773 -832.551182
-22.075019  -4.124139 -832.514289
-21.081484  -4.231505 -832.477395
-20.087949  -4.338872 -832.440502
-19.094415  -4.446238 -832.403608
-18.100880  -4.553604 -832.366715
-17.107345  -4.660971 -832.329822
-16.113810  -4.768337 -832.292928
-15.120276  -4.875703 -832.256035
-14.126741  -4.983069 -832.219141
-13.133206  -5.090436 -832.182248
-12.139671  -5.197802 -832.145355
-11.146136  -5.305168 -832.108461
-10.152602  -5.412535 -832.071568
 -9.159067  -5.519901 -832.034674
 -8.165532  -5.627267 -831.997781
 -7.171997  -5.734633 -831.960888
 -6.178463  -5.842000 -831.923994
 -5.184928  -5.949366 -831.887101
 -4.191393  -6.056732 -831.850207
 -3.197858  -6.164099 -831.813314
 -2.204323  -6.271465 -831.776421
 -1.210789  -6.378831 -831.739527
 -0.217254  -6.486197 -831.702634
  0.776281  -6.593564 -831.665740
  1.769816  -6.700930 -831.628847
  2.763350  -6.808296 -831.591954
  3.756885  -6.915663 -831.555060
  4.750420  -7.023029 -831.518167
  5.743955  -7.130395 -831.481273
  6.737490  -7.237761 -831.444380
  7.731024  -7.345128 -831.407487
  8.507629  -7.869473 -826.742185
  9.538624  -7.904834 -827.504535
 10.572526  -7.934607 -828.328920
 11.602331  -7.972257 -829.065872
 12.633253  -8.007757 -829.826684
 13.665162  -8.041361 -830.608536
 14.685768  -8.096692 -831.149233
 15.679303  -8.204058 -831.112339
 16.672837  -8.311424 -831.075446
 17.666372  -8.418791 -831.038552
 18.659907  -8.526157 -831.001659
 19.653442  -8.633523 -830.964766
 20.646977  -8.740889 -830.927872
 21.640511  -8.848256 -830.890979
 22.634046  -8.955622 -830.854085
 23.627581  -9.062988 -830.817192
 24.621116  -9.170355 -830.780299
 25.614650  -9.277721 -830.743405
 26.608185  -9.385087 -830.706512
 27.601720  -9.492453 -830.669618
 28.595255  -9.599820 -830.632725
 29.588790  -9.707186 -830.595832
 30.582324  -9.814552 -830.558938
 31.575859  -9.921919 -830.522045
 32.569394 -10.029285 -830.485151
 33.562929 -10.136651 -830.448258
 34.556463 -10.244017 -830.411365
 35.549998 -10.351384 -830.374471
 36.543533 -10.458750 -830.337578
 37.537068 -10.566116 -830.300684
 38.530603 -10.673483 -830.263791
-87.544804   3.952207 -834.855196
-86.551270   3.844841 -834.818303
-85.557735   3.737474 -834.781410
-84.564200   3.630108 -834.744516
-83.570665   3.522742 -834.707623
-82.577130   3.415375 -834.670729
-81.583596   3.308009 -834.633836
-80.590061   3.200643 -834.596942
-79.596526   3.093277 -834.560049
-78.602991   2.985910 -834.523156
-77.609456   2.878544 -834.486262
-76.615922   2.771178 -834.449369
-75.622387   2.663811 -834.412475
-74.628852   2.556445 -834.375582
-73.635317   2.449079 -834.338689
-72.641783   2.341713 -834.301795
-71.648248   2.234346 -834.264902
-70.654713   2.126980 -834.228008
-69.661178   2.019614 -834.191115
-68.667643   1.912247 -834.154222
-67.674109   1.804881 -834.117328
-66.680574   1.697515 -834.080435
-65.687039   1.590149 -834.043541
-64.693504   1.482782 -834.006648
-63.699970   1.375416 -833.969755
-62.706435   1.268050 -833.932861
-61.712900   1.160683 -833.895968
-60.719365   1.053317 -833.859074
